ID,Address1,Address2,City,Phone,VaccineType,VaccineType2,VaccineType3,latitude,longitude
AB00004145,6213 CENTRE ST NW,,CALGARY,403-274-2444,ADULT XBB,,,51.10788492,-114.0633693
AB00003431,28 PANATELLA BLVD NW,,CALGARY,403-460-6707,ADULT XBB,,,51.16547718,-114.0712342
AB00004401,2790 32 AVE NE,,CALGARY,403-453-2443,ADULT XBB,,,51.08199601,-113.9952041
AB00004124,3130-11 ROYAL VISTA DR NW,,CALGARY,403-800-6646,ADULT XBB,,,51.1500556,-114.2064574
AB00003651,1219 11 AVE SW,,CALGARY,587-392-5857,ADULT XBB,,,51.04319727,-114.0900798
AB00002689,200 STEWART GREEN SW,,CALGARY,403-246-0336,ADULT XBB,,,51.01460372,-114.1670197
AB00001326,400-1000 HAMPTONS DR NW,,CALGARY,403-299-6715,ADULT XBB,,,51.14347029,-114.1295243
AB00002917,771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,ADULT XBB,,,51.08260367,-114.0959373
AB00001038,114-8180 MACLEOD TR SE,,CALGARY,403-253-7383,ADULT XBB,,,50.98199571,-114.0703651
AB00000001,4-7930 BOWNESS RD NW,,CALGARY,403-288-4041,ADULT XBB,,,51.08913208,-114.2011653
AB00002048,11-600 CROWFOOT CRES NW,,CALGARY,403-455-9939,ADULT XBB,,,51.12979307,-114.2039427
AB00000390,2079 146 AVE SE,,CALGARY,403-278-1565,ADULT XBB,,,50.9198697,-114.0148617
AB00002684,100-5005 DALHOUSIE DR NW,,CALGARY,403-202-0444,ADULT XBB,,,51.10549355,-114.1612934
AB00004119,7-2111 CENTRE ST NW,,CALGARY,403-276-7076,ADULT XBB,,,51.07131481,-114.0629897
AB00004402,108-5401 TEMPLE DR NE,,CALGARY,403-460-0303,ADULT XBB,,,51.0851268,-113.9569255
AB00004419,159 MAHOGANY CENTRE SE,,CALGARY,403-299-5808,ADULT XBB,,,50.89697308,-113.9348758
AB00004298,7048-2060 SYMONS VALLEY,PKWY NW,CALGARY,403-266-1450,ADULT XBB,,,51.17595078,-114.10752
AB00003336,78-4307 130 AVE SE,,CALGARY,403-475-8612,ADULT XBB,,,50.93059254,-113.9730717
AB00003404,109-5809 MACLEOD TR SW,,CALGARY,403-460-3825,ADULT XBB,,,51.00187606,-114.0724615
AB00003817,100-2675 36 ST NE,,CALGARY,403-291-0076,ADULT XBB,,,51.07748805,-113.9825869
AB00001593,4700 130 AVE SE,,CALGARY,403-257-6530,ADULT XBB,,,50.93356613,-113.9668006
AB00002940,860 13 ST SE,,CALGARY,587-480-0178,ADULT XBB,,,51.04042942,-114.0309414
AB00100017,101-83 DEERPOINT RD SE,,CALGARY,587-554-5588,ADULT XBB,,,50.9268828,-114.0289032
AB00003703,4501 BRISEBOIS DR NW,,CALGARY,403-282-1208,ADULT XBB,,,51.09340467,-114.127905
AB00000786,100-250 SHAWVILLE BLVD SE,,CALGARY,403-299-4439,ADULT XBB,,,50.90319486,-114.0637289
AB00004178,9-15 MILLRISE BLVD SW,,CALGARY,587-329-5858,ADULT XBB,,,50.9205757,-114.076119
AB00003954,128-6707 ELBOW DR SW,,CALGARY,403-259-6893,ADULT XBB,,,50.99368257,-114.0840543
AB00002899,8855 MACLEOD TR SW,,CALGARY,403-640-7617,ADULT XBB,,,50.97449255,-114.0719797
AB00004269,103A-3009 14 ST SW,,CALGARY,403-764-3080,ADULT XBB,,,51.02730152,-114.0950098
AB00000012,9-728 NORTHMOUNT DR NW,,CALGARY,403-289-9181,ADULT XBB,,,51.08230306,-114.09281
AB00100026,104-305 10 ST NW,,CALGARY,825-540-1500,ADULT XBB,,,51.05451586,-114.0862431
AB00100077,80-10233 ELBOW DR SW,,CALGARY,403-255-2354,ADULT XBB,,,50.96193461,-114.08581
AB00000071,4940 RICHMOND RD SW,,CALGARY,403-299-4487,ADULT XBB,,,51.01911946,-114.1589891
AB00003872,110-8500 BLACKFOOT TR SE,,CALGARY,403-253-5700,ADULT XBB,,,50.97661519,-114.046636
AB00001123,1711 4 ST SW,,CALGARY,403-228-5067,ADULT XBB,,,51.0372509,-114.0717656
AB00003782,105-4411 16 AVE NW,,CALGARY,403-247-9502,ADULT XBB,,,51.06805148,-114.1588588
AB00001177,700-2220 68 ST NE,,CALGARY,403-299-2612,ADULT XBB,,,51.0684625,-113.9336307
AB00004198,1010 1 AVE  NE,,CALGARY,403-269-6440,ADULT XBB,,,51.05342892,-114.0401932
AB00003806,11-3735 RUNDLEHORN DR NE,,CALGARY,403-798-9280,ADULT XBB,,,51.07151283,-113.97887
AB00002579,2303 4 ST SW,,CALGARY,403-229-3458,ADULT XBB,,,51.03231993,-114.0718985
AB00004249,7-1603 62 AVE SE,,CALGARY,587-391-9878,ADULT XBB,,,50.99746705,-114.020351
